key,raw_spend,rpc_spend,delta_spend,raw_impressions,rpc_impressions,delta_impressions,raw_reach,rpc_reach,delta_reach,raw_clicks,rpc_clicks,delta_clicks,raw_leads,rpc_leads,delta_leads,raw_bookings,rpc_bookings,delta_bookings,raw_conversions,rpc_conversions,delta_conversions,raw_website_bookings,rpc_website_bookings,delta_website_bookings,raw_messaging_contacts,rpc_messaging_contacts,delta_messaging_contacts,raw_new_messaging_contacts,rpc_new_messaging_contacts,delta_new_messaging_contacts,raw_primary_results,rpc_primary_results,delta_primary_results,raw_secondary_results,rpc_secondary_results,delta_secondary_results,raw_ctr,rpc_ctr,delta_ctr,raw_cpm,rpc_cpm,delta_cpm,raw_cpc,rpc_cpc,delta_cpc,raw_cpl,rpc_cpl,delta_cpl,raw_frequency,rpc_frequency,delta_frequency,raw_source_rows,rpc_source_rows,delta_source_rows
ad=120242075037770650,1.83,1.83,0,197,197,0,171,171,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,4.57,0,9.29,9.29,0,0.2,0.2,0,,,,1.15,1.15,0,16,16,0
ad=120242475427930650,319.83,319.83,0,11292,11292,0,9420,9420,0,206,206,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1.82,1.82,0,28.32,28.32,0,1.55,1.55,0,319.83,319.83,0,1.2,1.2,0,21,21,0
ad=120242516792760650,44.46,44.46,0,1152,1152,0,953,953,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,1.82,0,38.59,38.59,0,2.12,2.12,0,,,,1.21,1.21,0,18,18,0
ad=120242517038560650,33.03,33.03,0,1267,1267,0,1151,1151,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,1.66,0,26.07,26.07,0,1.57,1.57,0,,,,1.1,1.1,0,21,21,0
ad=120242517242110650,616.63,616.63,0,21313,21313,0,18467,18467,0,607,607,0,1,1,0,1,1,0,1,1,0,1,1,0,5,5,0,5,5,0,1,1,0,0,0,0,2.85,2.85,0,28.93,28.93,0,1.02,1.02,0,616.63,616.63,0,1.15,1.15,0,21,21,0
ad=120242517363430650,277.09,277.09,0,11431,11431,0,9768,9768,0,294,294,0,1,1,0,1,1,0,1,1,0,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,2.57,2.57,0,24.24,24.24,0,0.94,0.94,0,277.09,277.09,0,1.17,1.17,0,30,30,0
ad=120242517738290650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,1,1,0
ad=120242517826380650,1.86,1.86,0,79,79,0,75,75,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59,7.59,0,23.54,23.54,0,0.31,0.31,0,,,,1.05,1.05,0,3,3,0
ad=120242518160000650,544.63,544.63,0,23676,23676,0,19678,19678,0,755,755,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3.19,3.19,0,23,23,0,0.72,0.72,0,544.63,544.63,0,1.2,1.2,0,21,21,0
ad=120242804360670650,94.74,94.74,0,3522,3522,0,2731,2731,0,75,75,0,4,4,0,4,4,0,4,4,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,2.13,2.13,0,26.9,26.9,0,1.26,1.26,0,23.69,23.69,0,1.29,1.29,0,28,28,0
ad=120242912591650650,103.96,103.96,0,6762,6762,0,5553,5553,0,205,205,0,3,3,0,0,0,0,4,4,0,0,0,0,25,25,0,16,16,0,25,25,0,0,0,0,3.03,3.03,0,15.37,15.37,0,0.51,0.51,0,34.65,34.65,0,1.22,1.22,0,17,17,0
ad=120242912689210650,116.21,116.21,0,8754,8754,0,6767,6767,0,317,317,0,6,6,0,0,0,0,6,6,0,0,0,0,37,37,0,26,26,0,37,37,0,0,0,0,3.62,3.62,0,13.28,13.28,0,0.37,0.37,0,19.37,19.37,0,1.29,1.29,0,11,11,0
ad=120242912770880650,359.6,359.6,0,26438,26438,0,20894,20894,0,737,737,0,8,8,0,0,0,0,8,8,0,0,0,0,76,76,0,68,68,0,76,76,0,0,0,0,2.79,2.79,0,13.6,13.6,0,0.49,0.49,0,44.95,44.95,0,1.27,1.27,0,29,29,0
ad=120243052282730650,12.5,12.5,0,456,456,0,369,369,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,1.97,0,27.41,27.41,0,1.39,1.39,0,,,,1.24,1.24,0,14,14,0
ad=120243052492110650,144.7,144.7,0,8781,8781,0,7423,7423,0,272,272,0,5,5,0,0,0,0,6,6,0,0,0,0,25,25,0,15,15,0,25,25,0,0,0,0,3.1,3.1,0,16.48,16.48,0,0.53,0.53,0,28.94,28.94,0,1.18,1.18,0,26,26,0
ad=120243052683890650,62.82,62.82,0,3458,3458,0,2898,2898,0,120,120,0,2,2,0,0,0,0,2,2,0,0,0,0,14,14,0,9,9,0,14,14,0,0,0,0,3.47,3.47,0,18.17,18.17,0,0.52,0.52,0,31.41,31.41,0,1.19,1.19,0,25,25,0
ad=120243052812460650,101.91,101.91,0,7318,7318,0,6322,6322,0,177,177,0,4,4,0,0,0,0,4,4,0,0,0,0,15,15,0,13,13,0,15,15,0,0,0,0,2.42,2.42,0,13.93,13.93,0,0.58,0.58,0,25.48,25.48,0,1.16,1.16,0,26,26,0
ad=120243052927370650,241.75,241.75,0,16059,16059,0,13829,13829,0,668,668,0,6,6,0,0,0,0,7,7,0,0,0,0,50,50,0,36,36,0,50,50,0,0,0,0,4.16,4.16,0,15.05,15.05,0,0.36,0.36,0,40.29,40.29,0,1.16,1.16,0,25,25,0
ad=120243164684890650,114.68,114.68,0,9596,9596,0,8127,8127,0,255,255,0,2,2,0,0,0,0,2,2,0,0,0,0,28,28,0,22,22,0,28,28,0,0,0,0,2.66,2.66,0,11.95,11.95,0,0.45,0.45,0,57.34,57.34,0,1.18,1.18,0,24,24,0
ad=120243225986090650,43.51,43.51,0,1897,1897,0,1447,1447,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,2.48,0,22.94,22.94,0,0.93,0.93,0,,,,1.31,1.31,0,13,13,0
ad=120243240059500650,179.37,179.37,0,4983,4983,0,3942,3942,0,122,122,0,2,2,0,2,2,0,2,2,0,2,2,0,3,3,0,1,1,0,2,2,0,0,0,0,2.45,2.45,0,36,36,0,1.47,1.47,0,89.69,89.69,0,1.26,1.26,0,23,23,0
